#
# The Tor Project
#
# URL: https://metrics.torproject.org/webstats-tb-locale.csv?start=2021-12-27&end=2022-05-28
#
date,locale,initial_downloads,update_pings
2022-02-21,ms,63,1
2022-02-22,ar,124,691
2022-02-22,de,3250,84220
2022-02-22,en-US,54416,741767
2022-02-22,es-ES,2417,22285
2022-02-22,fa,82,180
2022-02-22,fr,1425,22439
2022-02-22,it,591,9842
2022-02-22,ko,152,866
2022-02-22,nl,110,862
2022-02-22,pl,212,2479
2022-02-22,ru,3149,137599
2022-02-22,tr,246,3269
2022-02-22,vi,77,48
2022-02-22,zh-CN,1591,5010
2022-02-22,??,41,625
2022-02-22,ja,158,3668
2022-02-22,my,73,1
2022-02-22,pt-BR,1047,5731
2022-02-22,th,98,12
2022-02-22,da,95,140
2022-02-22,he,75,45
2022-02-22,sv-SE,102,283
2022-02-22,zh-TW,1506,27573
2022-02-22,ca,114,411
2022-02-22,ga-IE,76,1
2022-02-22,id,89,98
2022-02-22,is,86,28
2022-02-22,nb-NO,84,83
2022-02-22,cs,90,549
2022-02-22,el,94,151
2022-02-22,hu,124,501
2022-02-22,ka,83,6
2022-02-22,es-AR,210,543
2022-02-22,ro,78,58
2022-02-22,mk,72,0
2022-02-22,lt,78,21
2022-02-22,ms,70,1
2022-02-23,ar,142,666
2022-02-23,de,2961,80904
2022-02-23,en-US,53128,765814
2022-02-23,es-ES,2597,22209
2022-02-23,fa,111,175
2022-02-23,fr,1464,21962
2022-02-23,it,573,9782
2022-02-23,ko,150,822
2022-02-23,nl,100,796
2022-02-23,pl,221,2519
2022-02-23,ru,3245,136148
2022-02-23,tr,235,3277
2022-02-23,vi,82,36
2022-02-23,zh-CN,1949,5018
2022-02-23,??,6,632
2022-02-23,ja,190,3880
2022-02-23,my,84,0
2022-02-23,pt-BR,1100,5667
2022-02-23,th,101,8
2022-02-23,da,116,160
2022-02-23,he,94,61
2022-02-23,sv-SE,122,287
2022-02-23,zh-TW,1348,27530
2022-02-23,ca,131,370
2022-02-23,ga-IE,98,3
2022-02-23,id,102,87
2022-02-23,is,101,32
2022-02-23,nb-NO,90,85
2022-02-23,cs,125,580
2022-02-23,el,137,147
2022-02-23,hu,140,505
2022-02-23,ka,102,10
2022-02-23,es-AR,219,536
2022-02-23,ro,103,63
2022-02-23,mk,86,6
2022-02-23,lt,90,16
2022-02-23,ms,84,1
2022-02-24,ar,141,718
2022-02-24,de,3267,80626
2022-02-24,en-US,56209,787291
2022-02-24,es-ES,2434,21949
2022-02-24,fa,89,194
2022-02-24,fr,1332,21966
2022-02-24,it,591,9701
2022-02-24,ko,147,890
2022-02-24,nl,130,872
2022-02-24,pl,217,2386
2022-02-24,ru,5296,132534
2022-02-24,tr,274,3339
2022-02-24,vi,111,60
2022-02-24,zh-CN,2582,5403
2022-02-24,??,64,547
2022-02-24,ja,160,3747
2022-02-24,my,103,1
2022-02-24,pt-BR,1079,5704
2022-02-24,th,107,8
2022-02-24,da,104,130
2022-02-24,he,86,62
2022-02-24,sv-SE,124,267
2022-02-24,zh-TW,1209,27778
2022-02-24,ca,118,405
2022-02-24,ga-IE,88,3
2022-02-24,id,83,68
2022-02-24,is,94,22
2022-02-24,nb-NO,110,77
2022-02-24,cs,117,534
2022-02-24,el,101,106
2022-02-24,hu,149,478
2022-02-24,ka,100,4
2022-02-24,es-AR,206,508
2022-02-24,ro,111,61
2022-02-24,mk,100,2
2022-02-24,lt,95,7
2022-02-24,ms,95,1
2022-02-25,ar,91,718
2022-02-25,de,3688,85194
2022-02-25,en-US,59577,796133
2022-02-25,es-ES,2380,21424
2022-02-25,fa,63,146
2022-02-25,fr,1360,21711
2022-02-25,it,808,10022
2022-02-25,ko,120,871
2022-02-25,nl,97,873
2022-02-25,pl,191,2434
2022-02-25,ru,6154,140295
2022-02-25,tr,258,3446
2022-02-25,vi,71,47
2022-02-25,zh-CN,2034,5769
2022-02-25,??,7,624
2022-02-25,ja,117,3634
2022-02-25,my,74,1
2022-02-25,pt-BR,924,5690
2022-02-25,th,67,5
2022-02-25,da,83,136
2022-02-25,he,67,40
2022-02-25,sv-SE,76,289
2022-02-25,zh-TW,1088,27108
2022-02-25,ca,97,366
2022-02-25,ga-IE,63,1
2022-02-25,id,70,66
2022-02-25,is,66,28
2022-02-25,nb-NO,71,75
2022-02-25,cs,108,733
2022-02-25,el,74,111
2022-02-25,hu,104,487
2022-02-25,ka,63,6
2022-02-25,es-AR,175,547
2022-02-25,ro,75,71
2022-02-25,mk,56,1
2022-02-25,lt,55,11
2022-02-25,ms,64,4
2022-02-26,ar,113,693
2022-02-26,de,3526,80652
2022-02-26,en-US,67834,763060
2022-02-26,es-ES,2312,20789
2022-02-26,fa,67,184
2022-02-26,fr,1648,21227
2022-02-26,it,670,9804
2022-02-26,ko,118,879
2022-02-26,nl,108,801
2022-02-26,pl,228,2422
2022-02-26,ru,8206,144148
2022-02-26,tr,234,3625
2022-02-26,vi,54,42
2022-02-26,zh-CN,1670,5190
2022-02-26,??,15,732
2022-02-26,ja,128,3958
2022-02-26,my,56,1
2022-02-26,pt-BR,1104,5379
2022-02-26,th,68,7
2022-02-26,da,81,157
2022-02-26,he,61,43
2022-02-26,sv-SE,79,297
2022-02-26,zh-TW,1148,26945
2022-02-26,ca,83,322
2022-02-26,ga-IE,56,1
2022-02-26,id,61,66
2022-02-26,is,83,30
2022-02-26,nb-NO,58,75
2022-02-26,cs,142,748
2022-02-26,el,69,125
2022-02-26,hu,117,502
2022-02-26,ka,62,12
2022-02-26,es-AR,153,526
2022-02-26,ro,72,61
2022-02-26,mk,60,4
2022-02-26,lt,72,16
2022-02-26,ms,56,1
2022-02-27,ar,87,686
2022-02-27,de,3600,82621
2022-02-27,en-US,67691,754192
2022-02-27,es-ES,2452,21437
2022-02-27,fa,70,178
2022-02-27,fr,1490,22234
2022-02-27,it,849,9980
2022-02-27,ko,119,849
2022-02-27,nl,111,849
2022-02-27,pl,265,2622
2022-02-27,ru,7861,144652
2022-02-27,tr,226,3197
2022-02-27,vi,51,43
2022-02-27,zh-CN,1632,4896
2022-02-27,??,36,630
2022-02-27,ja,149,3783
2022-02-27,my,53,0
2022-02-27,pt-BR,1004,5242
2022-02-27,th,54,7
2022-02-27,da,78,165
2022-02-27,he,51,68
2022-02-27,sv-SE,69,364
2022-02-27,zh-TW,1023,27045
2022-02-27,ca,95,378
2022-02-27,ga-IE,57,2
2022-02-27,id,63,62
2022-02-27,is,58,22
2022-02-27,nb-NO,59,99
2022-02-27,cs,145,892
2022-02-27,el,67,147
2022-02-27,hu,98,560
2022-02-27,ka,73,13
2022-02-27,es-AR,182,488
2022-02-27,ro,62,78
2022-02-27,mk,48,4
2022-02-27,lt,49,17
2022-02-27,ms,48,2
2022-02-28,ar,71,656
2022-02-28,de,3342,84028
2022-02-28,en-US,64254,779159
2022-02-28,es-ES,2386,21046
2022-02-28,fa,40,201
2022-02-28,fr,1388,22664
2022-02-28,it,741,10196
2022-02-28,ko,88,923
2022-02-28,nl,75,890
2022-02-28,pl,208,2665
2022-02-28,ru,9644,152994
2022-02-28,tr,213,3316
2022-02-28,vi,38,38
2022-02-28,zh-CN,1363,5137
2022-02-28,??,20,572
2022-02-28,ja,98,3830
2022-02-28,my,27,1
2022-02-28,en-us,0,1
2022-02-28,pt-BR,1056,5484
2022-02-28,th,38,8
2022-02-28,da,45,142
2022-02-28,he,38,64
2022-02-28,sv-SE,59,311
2022-02-28,zh-TW,923,27477
2022-02-28,ca,73,382
2022-02-28,ga-IE,31,2
2022-02-28,id,33,58
2022-02-28,is,35,23
2022-02-28,nb-NO,34,81
2022-02-28,cs,121,832
2022-02-28,el,40,124
2022-02-28,hu,104,488
2022-02-28,ka,37,10
2022-02-28,es-AR,170,538
2022-02-28,ro,43,77
2022-02-28,mk,38,1
2022-02-28,lt,42,18
2022-02-28,ms,29,4
2022-03-01,ar,80,671
2022-03-01,de,3331,83367
2022-03-01,en-US,65434,801792
2022-03-01,es-ES,2571,21668
2022-03-01,fa,49,154
2022-03-01,fr,1723,23301
2022-03-01,it,722,10018
2022-03-01,ko,82,901
2022-03-01,nl,73,836
2022-03-01,pl,224,2623
2022-03-01,ru,9447,155033
2022-03-01,tr,175,3222
2022-03-01,vi,44,50
2022-03-01,zh-CN,1263,5083
2022-03-01,??,18,624
2022-03-01,ja,122,3601
2022-03-01,my,29,2
2022-03-01,pt-BR,1027,5594
2022-03-01,th,32,7
2022-03-01,da,48,125
2022-03-01,he,34,50
2022-03-01,sv-SE,45,297
2022-03-01,zh-TW,976,26975
2022-03-01,ca,80,382
2022-03-01,ga-IE,33,1
2022-03-01,id,35,59
2022-03-01,is,44,30
2022-03-01,nb-NO,43,84
2022-03-01,cs,102,790
2022-03-01,el,53,125
2022-03-01,hu,120,529
2022-03-01,ka,42,13
2022-03-01,es-AR,160,494
2022-03-01,ro,40,93
2022-03-01,mk,30,9
2022-03-01,lt,32,15
2022-03-01,ms,28,5
2022-03-02,ar,93,671
2022-03-02,de,3263,83335
2022-03-02,en-US,68582,782212
2022-03-02,es-ES,2327,21954
2022-03-02,fa,40,189
2022-03-02,fr,1672,22770
2022-03-02,it,688,9990
2022-03-02,ko,85,807
2022-03-02,nl,68,854
2022-03-02,pl,209,2512
2022-03-02,ru,12332,165236
2022-03-02,tr,190,3433
2022-03-02,vi,43,67
2022-03-02,zh-CN,1431,4927
2022-03-02,??,11,523
2022-03-02,ja,106,3629
